"ID","assignment","country","year"
"JN974871","Asian SEA2a","China",2003
"JN974872","Asian SEA2a","China",2003
"JN974873","Asian SEA2a","China",2004
"JN974874","Asian SEA1b","China",2005
"JN974875","Asian SEA1b","China",2005
"JN974876","Asian SEA1b","China",2009
"JN974878","Asian SEA1b","China",2008
"JQ040591","Asian SEA1b","China",2011
"JQ040592","Asian SEA2a","China",2011
"JQ040593","Asian SEA1b","China",2010
"JQ040594","Asian SEA1b","China",2010
"JQ040595","Asian SEA1b","China",2010
"JQ040596","Asian SEA1b","China",2010
"JQ040597","Asian SEA1b","China",2010
"JQ040598","Asian SEA1b","China",2011
"JQ040599","Asian SEA1b","China",2010
"JQ040600","Asian SEA1b","China",2010
"JQ423952","Asian SEA1b","China",2011
"JQ647510","Asian SEA1b","China",2011
"JQ730682","Asian SEA3","China",2010
"JQ794536","Asian SEA1b","China",2011
"JQ794537","Asian SEA1b","China",2011
"JQ794538","Asian SEA1b","China",2011
"JQ794539","Asian SEA1b","China",2011
"JQ794540","Asian SEA1b","China",2011
"JQ794541","Asian SEA1b","China",2011
"JQ798943","Asian SEA1b","China",2011
"JQ798944","Asian SEA1b","China",2011
"JQ798945","Asian SEA1b","China",2011
"JQ798946","Asian SEA1b","China",2011
"JQ798947","Asian SEA1b","China",2011
"JQ798948","Asian SEA1b","China",2011
"JQ798949","Asian SEA1b","China",2011
"JQ798950","Asian SEA1b","China",2011
"JQ798951","Asian SEA1b","China",2011
"JQ798952","Asian SEA1b","China",2011
"JQ798953","Asian SEA1b","China",2011
"JQ798954","Asian SEA1b","China",2011
"JQ798955","Asian SEA1b","China",2011
"JQ798956","Asian SEA1b","China",2011
"JQ798957","Asian SEA1b","China",2011
"JQ798958","Asian SEA1b","China",2011
"JQ798959","Asian SEA1b","China",2011
"JQ798960","Asian SEA1b","China",2011
"JQ798961","Asian SEA1b","China",2011
"JQ946087","Asian SEA2b","China",2011
"JQ950446","Asian SEA2b","China",2012
"JQ950448","Asian SEA2b","China",2012
"JQ950452","Asian SEA2b","China",2012
"JQ970480","Asian SEA2a","China",2008
"JQ970481","Asian SEA1b","China",2006
"JQ970482","Asian SEA1b","China",2006
"JQ970483","Asian SEA1b","China",2008
"JQ970484","Asian SEA1b","China",2009
"JQ970485","Asian SEA1b","China",2009
"JQ970486","Asian SEA1b","China",2007
"JQ970487","Asian SEA1b","China",2009
"JX005929","Asian SEA1b","China",2008
"JX005930","Asian SEA1b","China",2010
"JX005931","Asian SEA1b","China",2008
"JX005932","Asian SEA1b","China",2008
"JX005933","Asian SEA1b","China",2008
"JX005934","Asian SEA1b","China",2008
"JX005935","Asian SEA1b","China",2009
"JX005936","Asian SEA1b","China",2010
"JX005937","Asian SEA1b","China",2008
"JX005938","Asian SEA1b","China",2008
"JX005939","Asian SEA1b","China",2008
"JX005940","Asian SEA1b","China",2009
"JX005941","Asian SEA1b","China",2009
"JX005942","Asian SEA1b","China",2009
"JX005943","Asian SEA1b","China",2010
"JX005944","Asian SEA1b","China",2009
"JX005945","Asian SEA1b","China",2010
"JX005946","Asian SEA1b","China",2010
"JX005947","Asian SEA1b","China",2010
"JX088694","Asian SEA2a","China",2012
"JX123685","Asian SEA1b","China",2010
"JX123686","Asian SEA1b","China",2010
"JX123687","Asian SEA1b","China",2010
"JX123688","Asian SEA1b","China",2009
"JX276405","Asian SEA3","China",2010
"JX276406","Asian SEA1b","China",2011
"JX276407","Asian SEA1b","China",2012
"JX276408","Asian SEA1b","China",2011
"JX276409","Asian SEA1b","China",2012
"JX276410","Asian SEA1b","China",2011
"JX276411","Asian SEA1b","China",2012
"JX276412","Asian SEA1b","China",2012
"JX276413","Asian SEA1b","China",2012
"JX276414","Asian SEA1b","China",2012
"JX276415","Asian SEA1b","China",2012
"JX276416","Asian SEA1b","China",2012
"JX276417","Asian SEA1b","China",2012
"JX276418","Asian SEA1b","China",2012
"JX276419","Asian SEA1b","China",2012
"JX276420","Asian SEA1b","China",2012
"JX276421","Asian SEA1b","China",2012
"JX276422","Asian SEA1b","China",2012
"JX276423","Asian SEA1b","China",2012
"JX276424","Asian SEA1b","China",2012
"JX276425","Asian SEA1b","China",2012
"KC169986","Asian SEA1b","China",2009
"KC193267","Asian SEA1b","China",2011
"KC252634","Asian SEA1b","China",2011
"KC465367","Asian SEA1b","China",2005
"KC465368","Asian SEA1b","China",2005
"KC465369","Asian SEA1b","China",2009
"KC465370","Asian SEA1b","China",2009
"KC465373","Asian SEA1b","China",2012
"KC465374","Asian SEA2a","China",2011
"KC465375","Asian SEA2a","China",2011
"KC465376","Asian SEA1b","China",2011
"KC465378","Asian SEA1b","China",2011
"KC465379","Asian SEA1b","China",2011
"KC465380","Asian SEA1b","China",2011
"KC660078","Asian SEA1b","China",2012
"KC762941","Asian SEA1b","China",2009
"KC977995","Asian SEA1b","China",2009
"KF501180","Asian SEA5","Taiwan",2013
"KF501181","Asian SEA5","Taiwan",2013
"KF501182","Asian SEA5","Taiwan",2013
"KF501185","Asian SEA5","Taiwan",2013
"KF620487","Asian SEA5","Taiwan",2012
"KF620488","Asian SEA5","Taiwan",2012
"KF620489","Asian SEA5","Taiwan",2013
"KF663511","Asian SEA1b","China",2011
"KF663512","Asian SEA1b","China",2011
"KF663513","Asian SEA1b","China",2011
"KF663514","Asian SEA1b","China",2011
"KF663515","Asian SEA1b","China",2011
"KF663516","Asian SEA1b","China",2011
"KF663517","Asian SEA1b","China",2011
"KF663518","Asian SEA1b","China",2011
"KF663519","Asian SEA1b","China",2011
"KF663520","Asian SEA1b","China",2011
"KF663521","Asian SEA1b","China",2012
"KF663522","Asian SEA1b","China",2012
"KF663523","Asian SEA1b","China",2009
"KF663524","Asian SEA1b","China",2010
"KF663525","Asian SEA1b","China",2009
"KF663526","Asian SEA1b","China",2011
"KF663527","Asian SEA1b","China",2012
"KF663528","Asian SEA1b","China",2012
"KF663529","Asian SEA1b","China",2012
"KF663530","Asian SEA1b","China",2012
"KF726852","Asian SEA2b","China",2009
"KF726853","Asian SEA1b","China",2010
"KJ004416","Asian SEA1b","China",2013
"KJ466147","Asian SEA2a","China",2014
"KJ564280","Asian SEA1b","China",2013
"KM034906","Asian SEA1b","China",2013
"KM058057","Asian SEA1b","China",2014
"KM058058","Asian SEA1b","China",2014
"KM093867","Asian SEA1b","China",2012
"KM366202","Asian SEA3","Cambodia",2008
"KM366203","Asian SEA3","Cambodia",2006
"KM366204","Asian SEA3","Cambodia",2004
"KM366205","Asian SEA3","Cambodia",2010
"KM366206","Asian SEA3","Cambodia",2004
"KM366207","Asian SEA3","Cambodia",2007
"KM366208","Asian SEA3","Cambodia",2004
"KM366209","Asian SEA3","Cambodia",2002
"KM366210","Asian SEA3","Cambodia",2000
"KM366211","Asian SEA3","Cambodia",2010
"KM366212","Asian SEA3","Cambodia",2008
"KM366213","Asian SEA3","Cambodia",1998
"KM366214","Asian SEA3","Cambodia",2003
"KM366215","Asian SEA3","Cambodia",2002
"KM366216","Asian SEA3","Cambodia",2010
"KM366217","Asian SEA3","Cambodia",2009
"KM366218","Asian SEA3","Cambodia",2003
"KM366219","Asian SEA3","Cambodia",2004
"KM366220","Asian SEA3","Cambodia",2011
"KM366221","Asian SEA3","Cambodia",2011
"KM366222","Asian SEA3","Cambodia",2011
"KM366223","Asian SEA3","Cambodia",2010
"KM366224","Asian SEA3","Cambodia",2000
"KM366225","Asian SEA3","Cambodia",2011
"KM366226","Asian SEA3","Cambodia",2001
"KM366227","Asian SEA3","Cambodia",2010
"KM366228","Asian SEA3","Cambodia",2008
"KM366229","Asian SEA3","Cambodia",2011
"KM366230","Asian SEA3","Cambodia",2011
"KM366231","Asian SEA3","Cambodia",2008
"KM366232","Asian SEA3","Cambodia",2003
"KM366233","Asian SEA3","Cambodia",2002
"KM366234","Asian SEA3","Cambodia",1999
"KM366235","Asian SEA3","Cambodia",2009
"KM366236","Asian SEA3","Cambodia",2008
"KM366237","Asian SEA3","Cambodia",2008
"KM366238","Asian SEA3","Cambodia",2009
"KM366239","Asian SEA3","Cambodia",1999
"KM366240","Asian SEA3","Cambodia",2001
"KM366241","Asian SEA3","Cambodia",1999
"KM366242","Asian SEA3","Cambodia",2001
"KM366243","Asian SEA3","Cambodia",2007
"KM366244","Asian SEA3","Cambodia",2000
"KM366245","Asian SEA3","Cambodia",2000
"KM366246","Asian SEA3","Cambodia",2006
"KM366247","Asian SEA3","Cambodia",2002
"KM366248","Asian SEA3","Cambodia",2006
"KM366249","Asian SEA3","Cambodia",2005
"KM366250","Asian SEA3","Cambodia",2003
"KM366251","Asian SEA3","Cambodia",1998
"KM366252","Asian SEA3","Cambodia",1998
"KM366253","Asian SEA3","Cambodia",2007
"KM366254","Asian SEA3","Cambodia",2009
"KM366255","Asian SEA3","Cambodia",2011
"KM366256","Asian SEA3","Cambodia",2002
"KM366257","Asian SEA3","Cambodia",2006
"KM366258","Asian SEA3","Cambodia",2006
"KM366259","Asian SEA3","Cambodia",2004
"KM366260","Asian SEA3","Cambodia",2002
"KM366261","Asian SEA3","Cambodia",2005
"KM366262","Asian SEA3","Cambodia",2009
"KM366263","Asian SEA3","Cambodia",2011
"KM366264","Asian SEA3","Cambodia",2001
"KM366265","Asian SEA3","Cambodia",2000
"KM366266","Asian SEA3","Cambodia",2010
"KM366267","Asian SEA3","Cambodia",2010
"KM366268","Asian SEA3","Cambodia",2005
"KM366269","Asian SEA3","Cambodia",1999
"KM366270","Asian SEA3","Cambodia",2003
"KM366271","Asian SEA3","Cambodia",2001
"KM366272","Asian SEA3","Cambodia",2003
"KM366273","Asian SEA3","Cambodia",2004
"KM366274","Asian SEA3","Cambodia",2008
"KM366275","Asian SEA3","Cambodia",2000
"KM366276","Asian SEA3","Cambodia",2006
"KM366277","Asian SEA3","Cambodia",2002
"KM366278","Asian SEA3","Cambodia",2001
"KM366279","Asian SEA3","Cambodia",2008
"KM366280","Asian SEA3","Cambodia",2008
"KM366281","Asian SEA3","Cambodia",2008
"KM366282","Asian SEA3","Cambodia",2000
"KM366283","Asian SEA3","Cambodia",2009
"KM366284","Asian SEA3","Cambodia",2011
"KM366285","Asian SEA3","Cambodia",1998
"KM366286","Asian SEA3","Cambodia",2011
"KM366287","Asian SEA3","Cambodia",1998
"KM366288","Asian SEA3","Cambodia",2009
"KM366289","Asian SEA3","Cambodia",2007
"KM366290","Asian SEA3","Cambodia",2001
"KM366291","Asian SEA3","Cambodia",2003
"KM366292","Asian SEA3","Cambodia",2006
"KM366293","Asian SEA3","Cambodia",2007
"KM366294","Asian SEA3","Cambodia",2006
"KM366295","Asian SEA3","Cambodia",1999
"KM366296","Asian SEA3","Cambodia",2007
"KM366297","Asian SEA3","Cambodia",2004
"KM366298","Asian SEA3","Cambodia",2002
"KM366299","Asian SEA3","Cambodia",2009
"KM366300","Asian SEA3","Cambodia",2002
"KM366301","Asian SEA3","Cambodia",2009
"KM366302","Asian SEA3","Cambodia",2004
"KM366303","Asian SEA3","Cambodia",2007
"KM366304","Asian SEA3","Cambodia",2001
"KM366305","Asian SEA3","Cambodia",2002
"KM366306","Asian SEA3","Cambodia",1998
"KM366307","Asian SEA3","Cambodia",1998
"KM366308","Asian SEA3","Cambodia",2003
"KM366309","Asian SEA3","Cambodia",1999
"KM366310","Asian SEA3","Cambodia",2008
"KM366311","Asian SEA3","Cambodia",2007
"KM366312","Asian SEA3","Cambodia",2005
"KM366313","Asian SEA3","Cambodia",2004
"KM366314","Asian SEA3","Cambodia",2009
